packet id,success count,RSSI,frequency error,SNR,road type,distance
1,40,-99,830,-0.25,curve,100
2,41,-98,796,3.25,curve,100
3,42,-92,796,-1.75,curve,100
4,43,-100,813,-2.75,curve,100
5,44,-99,830,1.5,curve,100
6,45,-102,830,-7.25,curve,100
7,46,-102,713,-6.75,curve,100
8,47,-102,763,-5.75,curve,100
9,48,-99,796,1,curve,100
10,49,-98,813,-5,curve,100
11,50,-97,796,7.75,curve,100
12,51,-98,813,9,curve,100
13,52,-101,796,5.5,curve,100
14,53,-101,830,7,curve,100
15,54,-106,830,4.5,curve,100
16,55,-101,830,6.25,curve,100
17,56,-103,864,5.5,curve,100
18,57,-105,864,4.5,curve,100
19,58,-100,864,6.5,curve,100
20,59,-98,880,8.25,curve,100
21,60,-93,880,8.5,curve,100
22,61,-97,880,8.75,curve,100
23,62,-93,897,9.25,curve,100
24,63,-94,897,9.25,curve,100
25,64,-94,897,8.75,curve,100
26,65,-94,897,9,curve,100
27,66,-93,897,9,curve,100
28,67,-93,897,9,curve,100
29,68,-93,897,8.75,curve,100
30,69,-92,897,8.75,curve,100
31,70,-90,897,9.25,curve,100
32,71,-92,914,9.5,curve,100
33,72,-86,914,7.5,curve,100
34,73,-93,914,9,curve,100
35,74,-92,914,8.5,curve,100
36,75,-92,914,9,curve,100
37,76,-92,914,9,curve,100
38,77,-91,931,9.25,curve,100
39,78,-84,931,7.5,curve,100
40,79,-92,931,9,curve,100
41,80,-92,931,9,curve,100
42,81,-93,947,8.75,curve,100
43,82,-94,931,8.75,curve,100
44,83,-94,947,9.25,curve,100
45,84,-95,931,8.5,curve,100
46,85,-94,947,9.25,curve,100
47,86,-95,947,8.75,curve,100
48,87,-98,964,9,curve,100
49,88,-97,947,8.25,curve,100
50,89,-99,947,8,curve,100
51,90,-97,947,8.75,curve,100
52,91,-101,964,6.75,curve,100
53,92,-101,964,7.25,curve,100
54,93,-104,964,5.5,curve,100
55,94,-102,964,6.75,curve,100
56,95,-104,981,4.75,curve,100
57,96,-98,964,8.5,curve,100
58,97,-94,964,9.5,curve,100
59,98,-103,964,6.5,curve,100
60,99,-95,964,8.5,curve,100
1,36,-113,746,-2.75,straight,100
2,37,-110,713,2.75,straight,100
3,38,-106,729,6,straight,100
4,39,-100,746,7.7,straight,100
5,40,-98,746,8.75,straight,100
6,41,-96,746,8.5,straight,100
7,42,-98,746,8.5,straight,100
8,43,-98,746,8.25,straight,100
9,44,-97,729,8.75,straight,100
10,45,-97,746,8.75,straight,100
11,46,-96,746,8.75,straight,100
12,47,-101,746,8.5,straight,100
13,48,-101,746,8.5,straight,100
14,49,-107,746,7,straight,100
15,50,-108,763,6.25,straight,100
16,51,-105,763,7.5,straight,100
17,52,-102,763,8,straight,100
18,53,-101,763,8.75,straight,100
19,54,-100,763,8.25,straight,100
20,55,-105,763,6.75,straight,100
21,56,-105,763,7.5,straight,100
22,57,-104,763,7.75,straight,100
23,58,-108,763,5.5,straight,100
24,59,-105,763,6.75,straight,100
25,60,-105,763,7.75,straight,100
26,61,-106,763,7,straight,100
27,62,-109,763,5.5,straight,100
28,63,-108,763,5.25,straight,100
29,64,-106,763,7.5,straight,100
30,65,-105,763,7.25,straight,100
31,66,-102,763,8,straight,100
32,67,-100,763,8.75,straight,100
33,68,-103,763,8.5,straight,100
34,69,-105,763,7.25,straight,100
35,70,-97,763,8.25,straight,100
36,71,-92,763,8.75,straight,100
37,72,-101,780,8.75,straight,100
38,73,-108,780,6.75,straight,100
39,74,-91,780,8.75,straight,100
40,75,-98,780,8.25,straight,100
41,76,-95,780,8.5,straight,100
42,77,-99,780,8,straight,100
43,78,-100,780,8,straight,100
44,79,-91,780,9.25,straight,100
45,80,-91,780,8.75,straight,100
46,81,-91,780,9,straight,100
47,82,-82,796,8,straight,100
48,83,-88,796,7.75,straight,100
49,84,-91,813,9,straight,100
50,85,-92,796,9.5,straight,100
51,86,-91,813,9,straight,100
52,87,-92,813,9.25,straight,100
53,88,-91,813,9,straight,100
54,89,-91,813,9,straight,100
55,90,-91,830,8.5,straight,100
56,91,-90,830,9,straight,100
57,92,-90,830,9,straight,100
58,93,-90,830,9,straight,100
59,94,-90,830,8.75,straight,100
60,95,-95,830,7.75,straight,100
1,45,-114,1132,-8.25,curve,300
2,46,-113,1082,-7.5,curve,300
3,47,-113,1098,-5,curve,300
4,48,-113,1048,-6,curve,300
5,49,-114,1031,-7.25,curve,300
6,50,-116,1048,-6.5,curve,300
7,51,-107,1048,2.75,curve,300
8,52,-111,1048,-2.5,curve,300
9,53,-112,1098,-4.5,curve,300
10,54,-108,1082,3,curve,300
11,55,-108,1065,2.75,curve,300
12,56,-109,1065,1.75,curve,300
13,57,-110,1082,2.5,curve,300
14,58,-109,1098,2.5,curve,300
15,59,-107,1082,4.75,curve,300
16,60,-107,1065,4.5,curve,300
17,61,-108,1065,2.25,curve,300
18,62,-109,1048,1,curve,300
19,63,-111,1048,-1,curve,300
20,64,-111,1048,-1.75,curve,300
21,65,-109,1065,3,curve,300
22,66,-111,1082,0.75,curve,300
23,67,-107,1065,5,curve,300
